"","meanImp","medianImp","minImp","maxImp","normHits","decision"
"X.0.57229",-0.120112077990121,-0.0133392727069584,-1.41699379652747,1.41690940725144,0,"Rejected"
"X0.2133",-0.495208879396528,-1.00100150250438,-1.41690672017966,1.14301447434024,0,"Rejected"
"X0.51732",0.0135295015557329,0,-1.4138387147424,1.73648886130921,0,"Rejected"
"X0.59923",0.336010680615773,0.272655469481179,-1.00100150250438,1.71269561142466,0,"Rejected"
"X1.1902",-0.107171471561143,0,-1.34083376170489,1.00100150250438,0,"Rejected"
"X1.1908",-0.0362723610807316,0,-1.15371319440925,1.41691201969916,0,"Rejected"
"X1.1913",-0.193780688516327,0,-1.64350037166149,1.00100150250438,0,"Rejected"
"X1.1919",-0.267340896047152,-0.00620245339278475,-1.63856543448017,1.35201353995763,0,"Rejected"
"X1.1924",-0.00956234467319031,0,-1.00100150250438,1.63480191428347,0,"Rejected"
"X1.193",0.402393259633581,0.232754264094708,-1.62144061093668,1.68814101957218,0,"Rejected"
"X1.1935",0.182078848129434,0.238956486967858,-1.41799055442729,1.50261528296329,0,"Rejected"
"X1.1941",0.318245608365434,0.357641260401992,-1.4166659270908,1.66783449447297,0,"Rejected"
"X1.1946",0.314599150875267,0.188177887689349,-1.26521603330122,1.41703357614349,0,"Rejected"
"X1.1952",0.20543559689191,0.302025887921172,-1.40637598510662,1.59740821665299,0,"Rejected"
"X1.2018",0.367919611873519,0,-0.848213491855297,1.73608551696094,0,"Rejected"
"X1.2023",0.0534385190023386,0,-1.00100150250438,1.38815722501342,0,"Rejected"
"X1.2029",-0.0673010081002718,0,-1.62482114972037,1.00100150250438,0,"Rejected"
"X1.2034",-0.195304284322222,-0.0234456717332261,-1.41705050316284,1.35064652111246,0,"Rejected"
"X1.204",-0.115504574573072,0,-1.41652168060533,1.19419199382169,0,"Rejected"
"X1.2045",0.160416364882414,0,-1.35222997883652,1.41699576866614,0,"Rejected"
"X1.2051",0.380514906010698,0.231272326670818,-1.41699063230589,1.91616084841255,0,"Rejected"
"X1.2056",0.157222656500054,0,-1.3322511387265,1.80163618809199,0,"Rejected"
"X1.2062",0.231823989897484,0,-1.00100150250438,1.41642330128957,0,"Rejected"
"X1.2133",0.125854871286234,0,-1.41705050316284,1.41682771266241,0,"Rejected"
"X1.2139",-0.0494364620790791,0,-1.36887946115022,1.41690672017966,0,"Rejected"
"X1.2144",0.122851707703011,0.00620245339278926,-1.00100150250438,1.4159993503497,0,"Rejected"
"X1.215",-0.205644935039636,0,-1.82523142407877,1.00100150250438,0,"Rejected"
"X1.2463",-0.238623469643269,-0.0196343118158404,-1.00100150250438,1.33739265014285,0,"Rejected"
"X1.2468",0.214717172713171,0.183154021396968,-1.00100150250438,1.00100150250438,0,"Rejected"
"X1.2474",-0.0402695788490011,0,-1.41582842368083,1.33410183080097,0,"Rejected"
"X1.2567",0.0174459720942103,0,-1.00100150250438,1.00100150250438,0,"Rejected"
"X1.2573",-0.0409381054235334,0,-1.00100150250438,1.00100150250438,0,"Rejected"
"X1.2578",0.0894477382260067,0,-1.51305697395862,1.55491999944009,0,"Rejected"
"X1.2584",0.11503596443325,0,-1.41691703154896,1.41681961382698,0,"Rejected"
"X1.2589",0.0515944279522866,0,-1.95059339245028,1.41278763523835,0,"Rejected"
"X1.2595",0.434844617555587,0.488767057397809,-1.40781808085552,1.68942473570818,0,"Rejected"
"X1.7191",-0.238848294816528,-0.39003016158486,-1.73697954357862,1.41698837337418,0,"Rejected"
"X1.7196",0.0743364994770701,0.00652521530548993,-1.73486660993852,1.56440680210592,0,"Rejected"
"X1.7202",0.237574559210691,0.0135957036185893,-1.6264008709113,1.41703593835526,0,"Rejected"
"X1.7207",-0.288438240400953,0,-1.88495703397144,1.00100150250438,0,"Rejected"
"X1.7213",0.108734868955674,0,-1.00100150250438,1.35187550340619,0,"Rejected"
"X1.7218",0.47840584343528,0.461932871687446,-1.00100150250438,1.38942503594182,0,"Rejected"
"X1.7224",0.0931374019446734,0,-1.00100150250438,1.51106095428191,0,"Rejected"
"X1.7229",-0.137160964733164,0,-1.35618889004604,1.00100150250438,0,"Rejected"
"X1.7312",-0.157754905863999,0,-1.60609738420514,1.34560210045875,0,"Rejected"
"X1.7317",-0.313932184257905,-0.369574717081082,-1.41603860020788,1.20512785776214,0,"Rejected"
"X1.7323",-0.0746905975575139,0,-1.41043495964407,1.41587220684452,0,"Rejected"
"X1.7328",0.0220813196834412,0,-1.38710788618176,1.41705050316284,0,"Rejected"
"X1.7334",-0.299505353823712,0,-1.77557626318613,1.00100150250438,0,"Rejected"
"X1.7339",0.19514874317664,0,-1.00100150250438,1.6267394885839,0,"Rejected"
"X1.7345",0.2997812760296,0.475012417394602,-1.51411176046058,1.19859991282882,0,"Rejected"
"X1.735",0.101302710097807,0,-2.00754379765413,1.73682602315974,0,"Rejected"
"X1.7356",-0.425323632116454,-0.629149963228953,-1.22552794525576,1.00100150250438,0,"Rejected"
"X1.7361",-0.0248972085693437,0,-1.41575802975942,1.36692904431769,0,"Rejected"
"X1.7367",-0.10163011839053,0,-1.34565670060625,1.6661837811958,0,"Rejected"
"X1.7372",0.120368014014477,0,-1.41699277024658,1.41481896601064,0,"Rejected"
"X1.7378",0.0519606923783212,0,-1.00100150250438,1.35844521543356,0,"Rejected"
"X1.8719",0.316787678910962,0.626780416228997,-1.5332446571627,2.00948222027327,0,"Rejected"
"X2.0324",0.0120818976482298,0,-1.35415197325709,2.00643412752708,0,"Rejected"
"X2.033",0.184605218989035,0,-1.32205150771663,1.62699483664588,0,"Rejected"
"X2.0335",0.137206518770509,0.00637007389651848,-1.73477168574201,1.73706763345425,0,"Rejected"
"X2.0341",0.0633928024945058,0,-1.41679247996254,1.3055769811864,0,"Rejected"
"X2.0346",0.065560893185454,0,-1.00100150250438,1.19890559830902,0,"Rejected"
"X2.0352",-0.0680314824711703,0,-1.41631084259087,1.18612258560062,0,"Rejected"
"X2.0357",-0.0883700050781051,0,-1.00100150250438,1.1551069812538,0,"Rejected"
"X2.0363",0.0415608022030033,0,-1.36078625502264,1.41691943606003,0,"Rejected"
"X2.0368",-0.0496027177488297,0,-1.41698719566341,1.41690672017966,0,"Rejected"
"X2.0374",0.00558778643802181,0,-1.00100150250438,1.27057804029769,0,"Rejected"
"X2.0379",-0.278563524110456,-0.0527212338122341,-1.73703450645201,1.26693979201741,0,"Rejected"
"X2.0385",-0.211510927921022,0,-1.41607569277225,1.00100150250438,0,"Rejected"
"X2.039",-0.471243055940164,-0.553571740440046,-2.0065479507922,1.39499135759416,0,"Rejected"
"X2.0396",-0.079362180839341,0,-1.41703539646363,1.5972783974703,0,"Rejected"
"X2.0401",0.0961053555147228,0,-1.31373307057518,1.33914089041285,0,"Rejected"
"X2.0407",-0.206195115058681,-0.0156524223113105,-1.63990327638717,1.00100150250438,0,"Rejected"
"X2.0412",-0.0304162574726158,-0.0132146501773418,-1.2634482171898,1.51261908709197,0,"Rejected"
