"Variables","Importance","Boruta1","Boruta2"
"X.0.57229",0.02,0,0
"X0.2133",0.01,0,0
"X0.51732",0.02,0,0
"X0.59923",0.02,0,0
"X1.1902",0.03,0,0
"X1.1908",0.01,0,0
"X1.1913",0.03,0,0
"X1.1919",0.02,0,0
"X1.1924",0.02,0,0
"X1.193",0.03,0,0
"X1.1935",0.04,0,0
"X1.1941",0,0,0
"X1.1946",0.03,0,0
"X1.1952",0.02,0,0
"X1.2018",0.06,0,0
"X1.2023",0.04,0,0
"X1.2029",0.02,0,0
"X1.2034",0.02,0,0
"X1.204",0.02,0,0
"X1.2045",0.01,0,0
"X1.2051",0.05,0,0
"X1.2056",0.02,0,0
"X1.2062",0.01,0,0
"X1.2133",0.01,0,0
"X1.2139",0.02,0,0
"X1.2144",0.03,0,0
"X1.215",0.03,0,0
"X1.2463",0,0,0
"X1.2468",0.01,0,0
"X1.2474",0.04,0,0
"X1.2567",0.01,0,0
"X1.2573",0,0,0
"X1.2578",0.03,0,0
"X1.2584",0.02,0,0
"X1.2589",0.02,0,0
"X1.2595",0.08,0,0
"X1.7191",0.02,0,0
"X1.7196",0.02,0,0
"X1.7202",0.06,0,0
"X1.7207",0.03,0,0
"X1.7213",0,0,0
"X1.7218",0.01,0,0
"X1.7224",0.01,0,0
"X1.7229",0.02,0,0
"X1.7312",0.04,0,0
"X1.7317",0.02,0,0
"X1.7323",0,0,0
"X1.7328",0.02,0,0
"X1.7334",0.02,0,0
"X1.7339",0.04,0,0
"X1.7345",0.02,0,0
"X1.735",0.03,0,0
"X1.7356",0.02,0,0
"X1.7361",0.01,0,0
"X1.7367",0.01,0,0
"X1.7372",0.05,0,0
"X1.7378",0.01,0,0
"X1.8719",0.03,0,0
"X2.0324",0.01,0,0
"X2.033",0.03,0,0
"X2.0335",0.02,0,0
"X2.0341",0.02,0,0
"X2.0346",0.04,0,0
"X2.0352",0.02,0,0
"X2.0357",0.02,0,0
"X2.0363",0.03,0,0
"X2.0368",0.01,0,0
"X2.0374",0.01,0,0
"X2.0379",0.02,0,0
"X2.0385",0.03,0,0
"X2.039",0,0,0
"X2.0396",0.01,0,0
"X2.0401",0,0,0
"X2.0407",0.01,0,0
"X2.0412",0.02,0,0
"X2.0418",0.02,0,0
"X2.0423",0.01,0,0
"X2.0429",0,0,0
"X2.0434",0.01,0,0
"X2.044",0.02,0,0
"X2.0445",0.05,0,0
"X2.0544",0.02,0,0
"X2.055",0.02,0,0
"X2.0555",0.03,0,0
"X2.0561",0.03,0,0
"X2.0566",0.03,0,0
"X2.0572",0,0,0
"X2.0577",0.02,0,0
"X2.0583",0.01,0,0
"X2.0588",0.03,0,0
"X2.0594",0.02,0,0
"X2.0599",0.04,0,0
"X2.0605",0.03,0,0
"X2.3359",0.04,0,0
"X2.6064",0.03,0,0
"X2.6069",0.03,0,0
"X2.6075",0.03,0,0
"X2.608",0.01,0,0
"X2.6086",0.03,0,0
"X2.6091",0.02,0,0
"X2.6097",0.02,0,0
"X2.6102",0.01,0,0
"X2.6163",0.02,0,0
"X2.6168",0.02,0,0
"X2.6174",0.02,0,0
"X2.6218",0.02,0,0
"X2.7554",0.02,0,0
"X2.7872",0.04,0,0
"X2.7878",0.08,0,0
"X2.8048",0.04,0,0
"X2.8054",0.03,0,0
"X2.8125",0.06,0,0
"X2.8532",0.05,0,0
"X2.8538",0.02,0,0
"X2.8543",0.01,0,0
"X2.8549",0.03,0,0
"X2.8554",0.01,0,0
"X2.856",0,0,0
"X2.8565",0.02,0,0
"X2.8571",0.07,0,0
"X2.8576",0.04,0,0
"X2.8582",0.03,0,0
"X2.8587",0.04,0,0
"X2.8593",0.01,0,0
"X2.8598",0.04,0,0
"X2.8604",0.03,0,0
"X2.8675",0.03,0,0
"X2.8681",0.02,0,0
"X2.8686",0.02,0,0
"X2.8692",0.01,0,0
"X2.8697",0.04,0,0
"X2.8703",0.02,0,0
