"set","nr","mtry","oob"
"",0,0,0
"df4_d",1,10,0.0542372881355932
"df4_d",2,10,0.0406779661016949
"df4_d",3,10,0.0576271186440678
"df4_d",4,10,0.0406779661016949
"df4_d",5,10,0.0406779661016949
"df4_d",6,10,0.0508474576271186
"df4_d",7,10,0.0474576271186441
"df4_d",8,10,0.0610169491525424
"df4_d",9,10,0.0508474576271186
"df4_d",10,10,0.0440677966101695
"df4_d",1,20,0.0474576271186441
"df4_d",2,20,0.0305084745762712
"df4_d",3,20,0.0305084745762712
"df4_d",4,20,0.0372881355932203
"df4_d",5,20,0.0338983050847458
"df4_d",6,20,0.0372881355932203
"df4_d",7,20,0.0372881355932203
"df4_d",8,20,0.0406779661016949
"df4_d",9,20,0.0406779661016949
"df4_d",10,20,0.023728813559322
"df4_d",1,30,0.0305084745762712
"df4_d",2,30,0.0305084745762712
"df4_d",3,30,0.0338983050847458
"df4_d",4,30,0.0271186440677966
"df4_d",5,30,0.023728813559322
"df4_d",6,30,0.0271186440677966
"df4_d",7,30,0.0372881355932203
"df4_d",8,30,0.0305084745762712
"df4_d",9,30,0.0169491525423729
"df4_d",10,30,0.0271186440677966
"df4_d",1,40,0.0372881355932203
"df4_d",2,40,0.023728813559322
"df4_d",3,40,0.0271186440677966
"df4_d",4,40,0.0305084745762712
"df4_d",5,40,0.0203389830508475
"df4_d",6,40,0.023728813559322
"df4_d",7,40,0.023728813559322
"df4_d",8,40,0.0338983050847458
"df4_d",9,40,0.0271186440677966
"df4_d",10,40,0.0305084745762712
"df4_d",1,50,0.0271186440677966
"df4_d",2,50,0.023728813559322
"df4_d",3,50,0.023728813559322
"df4_d",4,50,0.0305084745762712
"df4_d",5,50,0.0338983050847458
"df4_d",6,50,0.0271186440677966
"df4_d",7,50,0.0338983050847458
"df4_d",8,50,0.0305084745762712
"df4_d",9,50,0.023728813559322
"df4_d",10,50,0.023728813559322
"df4_d",1,60,0.0372881355932203
"df4_d",2,60,0.0271186440677966
"df4_d",3,60,0.0305084745762712
"df4_d",4,60,0.023728813559322
"df4_d",5,60,0.023728813559322
"df4_d",6,60,0.0271186440677966
"df4_d",7,60,0.0271186440677966
"df4_d",8,60,0.0338983050847458
"df4_d",9,60,0.0305084745762712
"df4_d",10,60,0.0271186440677966
"df4_d",1,70,0.0305084745762712
"df4_d",2,70,0.0271186440677966
"df4_d",3,70,0.0271186440677966
"df4_d",4,70,0.0271186440677966
"df4_d",5,70,0.0271186440677966
"df4_d",6,70,0.023728813559322
"df4_d",7,70,0.0271186440677966
"df4_d",8,70,0.0338983050847458
"df4_d",9,70,0.0338983050847458
"df4_d",10,70,0.023728813559322
"df4_d",1,80,0.0305084745762712
"df4_d",2,80,0.0271186440677966
"df4_d",3,80,0.023728813559322
"df4_d",4,80,0.0271186440677966
"df4_d",5,80,0.0271186440677966
"df4_d",6,80,0.0305084745762712
"df4_d",7,80,0.0169491525423729
"df4_d",8,80,0.0338983050847458
"df4_d",9,80,0.023728813559322
"df4_d",10,80,0.0305084745762712
"df4_d",1,90,0.0372881355932203
"df4_d",2,90,0.0203389830508475
"df4_d",3,90,0.023728813559322
"df4_d",4,90,0.0271186440677966
"df4_d",5,90,0.023728813559322
"df4_d",6,90,0.0305084745762712
"df4_d",7,90,0.0271186440677966
"df4_d",8,90,0.0169491525423729
"df4_d",9,90,0.023728813559322
"df4_d",10,90,0.023728813559322
"df4_d",1,100,0.0203389830508475
"df4_d",2,100,0.0271186440677966
