"Variables","MDA","MDG","Boruta1","Boruta2"
"X.0.57229",-1.15006,0.02484,0,0
"X0.2133",-0.21427,0.02853,0,0
"X0.51732",0.06307,0.00684,0,0
"X0.59923",-0.33416,0.08048,0,0
"X1.1902",-1.00074,0.00796,0,0
"X1.1908",0.42258,0.02521,0,0
"X1.1913",-1.03319,0.02511,0,0
"X1.1919",0,0.00554,0,0
"X1.1924",0.36642,0.02518,0,0
"X1.193",-1.31336,0.05172,0,0
"X1.1935",-1.02681,0.04755,0,0
"X1.1941",-1.2664,0.02305,0,0
"X1.1946",-0.2123,0.01331,0,0
"X1.1952",0.50242,0.0295,0,0
"X1.2018",-1.33846,0.00741,0,0
"X1.2023",0,0.01777,0,0
"X1.2029",-1.4163,0.01068,0,0
"X1.2034",-0.64961,0.00745,0,0
"X1.204",0.80379,0.03912,0,0
"X1.2045",1.4163,0.01914,0,0
"X1.2051",-1.00074,0.02057,0,0
"X1.2056",1.00074,0.02385,0,0
"X1.2062",-1.00074,0.01288,0,0
"X1.2133",1.521,0.02717,0,0
"X1.2139",1.41605,0.00704,0,0
"X1.2144",1.00074,0.02967,0,0
"X1.215",-1.41618,0.0172,0,0
"X1.2463",1.6548,0.01185,0,0
"X1.2468",0.01322,0.01195,0,0
"X1.2474",-0.06727,0.02283,0,0
"X1.2567",0.41182,0.02339,0,0
"X1.2573",-1.00074,0.01696,0,0
"X1.2578",0,0.00196,0,0
"X1.2584",1.67717,0.01601,0,0
"X1.2589",0.50905,0.03558,0,0
"X1.2595",1.68454,0.01692,0,0
"X1.7191",0,0.01376,0,0
"X1.7196",0.60877,0.02588,0,0
"X1.7202",-0.04417,0.01096,0,0
"X1.7207",-1.00074,0.00744,0,0
"X1.7213",-1.00074,0.01092,0,0
"X1.7218",-0.60398,0.01789,0,0
"X1.7224",-1.41608,0.01293,0,0
"X1.7229",1.00074,0.01655,0,0
"X1.7312",-0.53573,0.02981,0,0
"X1.7317",-1.3991,0.02717,0,0
"X1.7323",-0.01937,0.0192,0,0
"X1.7328",0,0.01064,0,0
"X1.7334",1.25938,0.02454,0,0
"X1.7339",0,0,0,0
"X1.7345",-1.00074,0.01726,0,0
"X1.735",0,0.00261,0,0
"X1.7356",-1.00074,0.00536,0,0
"X1.7361",0,0.02003,0,0
"X1.7367",-1.41589,0.02371,0,0
"X1.7372",-0.66349,0.00993,0,0
"X1.7378",-0.3835,0.03022,0,0
"X1.8719",0.81193,0.01852,0,0
"X2.0324",-0.50976,0.04388,0,0
"X2.033",0,0.00271,0,0
"X2.0335",0,0.00521,0,0
"X2.0341",-1.41608,0.02738,0,0
"X2.0346",0.79415,0.02197,0,0
"X2.0352",-0.04764,0.03615,0,0
"X2.0357",-0.3901,0.02621,0,0
"X2.0363",0,0.00512,0,0
"X2.0368",0,0,0,0
"X2.0374",-1.00074,0.01085,0,0
"X2.0379",-1.00074,0.01553,0,0
"X2.0385",0.0459,0.05147,0,0
"X2.039",-0.48669,0.01014,0,0
"X2.0396",-0.03753,0.02185,0,0
"X2.0401",0.0136,0.02146,0,0
"X2.0407",-0.32253,0.03536,0,0
"X2.0412",-0.04689,0.03238,0,0
"X2.0418",0,0.01509,0,0
"X2.0423",-1.00074,0.00577,0,0
"X2.0429",-1.00074,0.00507,0,0
"X2.0434",0.96112,0.04504,0,0
"X2.044",-1.00074,0.03376,0,0
"X2.0445",1.35162,0.02128,0,0
"X2.0544",-1.22671,0.00679,0,0
"X2.055",-1.00074,0.01179,0,0
"X2.0555",1.00074,0.00827,0,0
"X2.0561",-0.05701,0.01678,0,0
"X2.0566",0.46174,0.01655,0,0
"X2.0572",0.43745,0.01693,0,0
"X2.0577",-1.41581,0.02809,0,0
"X2.0583",1.41596,0.01534,0,0
"X2.0588",-1.41553,0.01473,0,0
"X2.0594",-1.00074,0.00732,0,0
"X2.0599",1.00074,0.01458,0,0
"X2.0605",-1.65553,0.04355,0,0
"X2.3359",-1.52739,0.04452,0,0
"X2.6064",0.03228,0.05235,0,0
"X2.6069",-1.00074,0.01387,0,0
"X2.6075",1.7349,0.03848,0,0
"X2.608",1.00074,0.0132,0,0
"X2.6086",-1.00074,0.00841,0,0
"X2.6091",-0.03288,0.02112,0,0
"X2.6097",0,0.02143,0,0
"X2.6102",-1.3451,0.01748,0,0
"X2.6163",1.72839,0.02692,0,0
"X2.6168",0.6221,0.02665,0,0
"X2.6174",1.64942,0.0107,0,0
"X2.6218",-1.51337,0.01243,0,0
"X2.7554",-1.41577,0.00833,0,0
"X2.7872",0.64304,0.05328,0,0
"X2.7878",1.34342,0.03216,0,0
"X2.8048",-0.00831,0.01946,0,0
"X2.8054",-1.21399,0.03065,0,0
"X2.8125",1.21115,0.10691,0,0
"X2.8532",0.36799,0.01567,0,0
"X2.8538",0.40642,0.02095,0,0
"X2.8543",1.90242,0.0338,0,0
"X2.8549",0.43242,0.02905,0,0
"X2.8554",1.31981,0.01065,0,0
"X2.856",0,0.00779,0,0
"X2.8565",0.00652,0.01943,0,0
"X2.8571",-0.35348,0.03099,0,0
"X2.8576",-0.46192,0.03932,0,0
"X2.8582",-1.00074,0.01801,0,0
"X2.8587",1.15418,0.09658,0,0
"X2.8593",-0.72991,0.02684,0,0
"X2.8598",0.63642,0.01962,0,0
"X2.8604",1.73481,0.03651,0,0
"X2.8675",-1.15978,0.02066,0,0
"X2.8681",1.14273,0.03592,0,0
"X2.8686",-0.83405,0.04017,0,0
"X2.8692",1.00074,0.03697,0,0
"X2.8697",-0.51198,0.02073,0,0
"X2.8703",0.01536,0.04267,0,0
"X2.8708",0.90007,0.02024,0,0
"X2.8714",0.59172,0.03295,0,0
"X2.8719",0.58469,0.01176,0,0
"X2.8725",-1.31083,0.02257,0,0
"X2.873",-0.54941,0.02381,0,0
"X2.8736",0,0,0,0
"X3.0269",-0.63653,0.04233,0,0
"X3.0275",0.49328,0.07674,0,0
"X3.0946",0.612,0.01631,0,0
"X3.0951",1.45514,0.05504,0,0
"X3.0957",-1.00074,0.01438,0,0
"X3.0962",0,0.01332,0,0
"X3.0968",0,0.00257,0,0
"X3.0973",-0.46225,0.01516,0,0
"X3.0979",-0.04689,0.01481,0,0
"X3.0984",0.6034,0.03084,0,0
"X3.099",0.72957,0.0576,0,0
"X3.8532",-1.73549,0.04313,0,0
"X3.8538",-1.27298,0.03971,0,0
"X3.8576",1.00074,0.02258,0,0
"X3.8582",0.18975,0.04819,0,0
"X3.8587",-0.4524,0.02169,0,0
"X4.5003",0.03554,0.04978,0,0
"X4.5008",0.5603,0.01976,0,0
"X5.0962",-0.83401,0.0551,0,0
"X5.1798",-1.73527,0.0371,0,0
"X5.1803",-1.00074,0.0391,0,0
"X5.1809",1.0794,0.02342,0,0
"X5.1814",-0.06663,0.01345,0,0
"X5.182",-0.8015,0.02657,0,0
"X5.1825",0,0.00543,0,0
"X5.1831",0.23582,0.06176,0,0
"X5.1836",1.00074,0.01299,0,0
"X5.1842",0.0192,0.0084,0,0
"X5.1847",-0.49142,0.03546,0,0
"X5.1853",-0.12449,0.04393,0,0
"X5.1858",-1.4163,0.018,0,0
"X5.1864",1.53553,0.02911,0,0
"X5.1869",-1.00074,0.01132,0,0
"X5.1875",-0.37167,0.04012,0,0
"X5.188",0,0,0,0
"X5.1886",-1.41618,0.01472,0,0
"X5.1891",-0.03964,0.01732,0,0
"X5.1897",0,0.01291,0,0
"X5.1902",1.08323,0.04447,0,0
"X5.1908",-1.00074,0.02943,0,0
"X5.1913",1.00074,0.01129,0,0
"X5.1919",1.41628,0.02967,0,0
"X5.1924",-0.86562,0.04468,0,0
"X5.2139",-0.04882,0.02817,0,0
"X5.2144",1.00074,0.0085,0,0
"X5.215",-0.46197,0.02126,0,0
"X5.2155",0,0.01871,0,0
"X5.2161",-1.62069,0.01641,0,0
"X5.2166",1.34503,0.01108,0,0
"X5.2172",-1.10779,0.04056,0,0
"X5.2177",1.00074,0.0115,0,0
"X5.2183",1.00074,0.00144,0,0
"X5.2205",2.0686,0.03646,0,0
"X5.221",-1.35115,0.01373,0,0
"X5.2216",-0.46905,0.03186,0,0
"X5.2221",-1.00074,0.00291,0,0
"X5.2226",1.00074,0.01188,0,0
"X5.2232",0.72489,0.04602,0,0
"X5.2248",-1.00074,0.011,0,0
"X5.2254",-1.00074,0.02571,0,0
"X5.2259",-1.00074,0.02514,0,0
"X5.2265",0.40557,0.05749,0,0
"X5.2754",0,0,0,0
"X5.276",0,0.00819,0,0
"X5.2765",0,0.00576,0,0
"X5.2815",1.41035,0.01283,0,0
"X5.282",-1.00074,0.01902,0,0
"X5.2826",0.90456,0.04491,0,0
"X5.2831",0.58542,0.02318,0,0
"X5.2837",0.85171,0.04428,0,0
"X5.2842",-1.00074,0.0094,0,0
"X5.2897",-0.27603,0.04217,0,0
"X5.2903",0.09866,0.07996,0,0
"X5.2908",-0.95391,0.03535,0,0
"X5.2919",0.90725,0.05841,0,0
"X5.3018",0.03927,0.01048,0,0
"X5.3024",0.61475,0.03836,0,0
"X5.3084",-1.56824,0.02417,0,0
"X5.309",-1.41556,0.00787,0,0
"X5.3101",-1.00074,0.01981,0,0
"X5.3452",-1.00074,0.0065,0,0
"X5.3595",-0.04571,0.03145,0,0
"X5.3601",-1.00074,0.01547,0,0
"X5.3606",0.93394,0.03973,0,0
"X5.3612",1.22451,0.01743,0,0
"X5.3617",-1.00074,0.00497,0,0
"X5.4085",2.30579,0.04937,0,0
"X6.1198",1.75614,0.02856,0,0
"X6.1869",0.84441,0.02135,0,0
"X6.972",-1.42746,0.05112,0,0
"X7.807",-1.00074,0.00835,0,0
"X8.1644",-1.41579,0.00812,0,0
"X8.6394",1.41485,0.03125,0,0
"X9.1083",1.9089,0.0164,0,0
"X9.3722",0.60088,0.02378,0,0
"X2.94_367.1209m.z",1.41617,0.02896,0,0
"X2.88_430.3307m.z",-1.00074,0.00999,0,0
"X2.68_178.0779m.z",1.56401,0.1284,0,0
"X2.69_625.2683m.z",1.83896,0.10888,0,0
"X2.77_841.2319m.z",1.64926,0.08174,0,0
"X2.77_635.1525m.z",-0.91273,0.02818,0,0
"X2.77_290.0644n",-0.31953,0.03479,0,0
"X2.78_652.2054m.z",0.36133,0.03438,0,0
"X2.73_765.2021m.z",0.92439,0.06672,0,0
"X3.19_511.1019m.z",0.25178,0.01039,0,0
"X3.18_891.2649m.z",-1.00074,0.00813,0,0
"X3.18_210.0614n",1.59737,0.03332,0,0
"X3.18_172.0604m.z",-0.43913,0.03053,0,0
"X3.18_653.1734m.z",0.02797,0.03502,0,0
"X3.22_159.1041n",1.41596,0.03895,0,0
"X3.17_709.2354m.z",0.50254,0.0557,0,0
"X3.18_681.2047m.z",0,0.03394,0,0
"X3.17_539.1334m.z",0.48648,0.02704,0,0
"X3.17_777.2211m.z",-0.85821,0.0296,0,0
"X3.17_448.1555n",0,0.00196,0,0
"X3.17_556.1244m.z",1.00074,0.00836,0,0
"X3.28_529.1987m.z",-1.00074,0.00773,0,0
"X3.32_495.1689m.z",-1.00074,0.02727,0,0
"X3.22_144.1243m.z",-0.91321,0.04518,0,0
"X3.25_133.0427m.z",0.48743,0.0409,0,0
"X3.02_539.1942m.z",-1.78556,0.01919,0,0
"X2.98_196.0451n",1.00074,0.0131,0,0
"X2.99_602.1775m.z",-0.41851,0.01976,0,0
"X2.99_572.0986n",0.24286,0.04503,0,0
"X2.99_158.0443m.z",1.67951,0.03085,0,0
"X5.56_344.0727m.z",1.03934,0.00795,0,0
"X5.56_203.2467m.z",0,0.00512,0,0
"X2.99_483.0708m.z",0.49126,0.01203,0,0
"X2.99_536.1878m.z",1.62224,0.05129,0,0
"X2.99_287.0231m.z",-1.28354,0.04142,0,0
"X2.99_807.1687m.z",-1.00074,0.01478,0,0
"X2.99_679.1214m.z",1.00074,0.00711,0,0
"X5.51_245.2791m.z",1.62175,0.02693,0,0
"X3.14_470.1997m.z",1.35508,0.01496,0,0
"X3.12_142.1758m.z",0.04953,0.05306,0,0
"X3.13_283.0894n",2.12154,0.10359,0,1
"X5.51_551.1705m.z",13.0033,9.56465,1,1
"X5.51_562.3196m.z",1.21614,0.05193,0,0
"X3.07_283.1580n",1.89662,0.13064,0,0
"X3.08_547.2104m.z",0.03501,0.0185,0,0
"X2.06_270.2831n",1.00074,0.00713,0,0
"X2.06_251.1251m.z",0.54811,0.05942,0,0
"X2.09_198.0623n",0.98612,0.06825,0,0
"X2.08_367.1895m.z",1.00074,0.03813,0,0
"X2.22_349.1096m.z",1.00074,0.01,0,0
"X2.19_259.1646m.z",1.56139,0.25881,0,0
"X2.19_199.0632m.z",-0.54072,0.01987,0,0
"X1.93_160.0545m.z",0.38856,0.02152,0,0
"X1.84_322.1472n",1.66118,0.07783,0,0
"X1.89_172.0957m.z",0.92332,0.13614,0,1
"X5.71_144.1919m.z",1.06382,0.0258,0,0
"X2.03_257.1018n",1.34826,0.04375,0,0
"X2.50_237.1833m.z",-2.00458,0.02753,0,0
"X5.63_163.0859m.z",1.8511,0.0664,0,0
"X5.62_160.0526m.z",-0.82888,0.06731,0,0
"X2.36_651.1943m.z",1.19476,0.03719,0,0
"X2.28_456.0927m.z",0.40049,0.04333,0,0
"X2.42_237.1836m.z",1.00074,0.00424,0,0
"X2.38_463.1842n",-0.98582,0.04923,0,0
"X4.49_87.0435m.z",1.00074,0.01612,0,0
"X4.47_148.0341m.z",1.73584,0.01978,0,0
"X4.43_202.1581m.z",0.29934,0.19088,0,0
"X4.42_224.1007m.z",-0.43678,0.01222,0,0
"X5.32_433.2518m.z",1.91075,0.02168,0,0
"X4.61_511.1902n",1.00074,0.00456,0,0
"X4.61_675.2586n",2.68813,0.04795,0,0
"X4.52_296.1992m.z",0,0,0,0
"X4.52_509.1784m.z",-1.00074,0.0278,0,0
"X4.55_190.2275n",2.48316,0.38458,0,1
"X4.57_603.2365n",0,0.01547,0,0
"X4.57_478.2635m.z",0.01971,0.0173,0,0
"X4.56_529.2005n",-0.50482,0.02308,0,0
"X4.21_407.1062m.z",1.00074,0.00286,0,0
"X4.38_201.1110n",1.71421,0.15193,0,0
"X4.39_202.2260m.z",0.62412,0.01335,0,0
"X4.33_223.1618m.z",-1.00074,0.00939,0,0
"X4.32_87.0435m.z",0.23017,0.04967,0,0
